date,state,cases
06-02-2020,ca,6
07-02-2020,ca,6
08-02-2020,ca,6
09-02-2020,ca,6
10-02-2020,ca,7
11-02-2020,ca,7
12-02-2020,ca,7
13-02-2020,ca,7
14-02-2020,ca,7
15-02-2020,ca,7
16-02-2020,ca,7
17-02-2020,ca,7
18-02-2020,ca,7
19-02-2020,ca,7
20-02-2020,ca,8
21-02-2020,ca,9
22-02-2020,ca,9
23-02-2020,ca,9
24-02-2020,ca,11
25-02-2020,ca,11
26-02-2020,ca,26
27-02-2020,ca,26
28-02-2020,ca,27
29-02-2020,ca,28
01-03-2020,ca,33
02-03-2020,ca,38
03-03-2020,ca,45
04-03-2020,ca,55
05-03-2020,ca,67
06-03-2020,ca,81
07-03-2020,ca,100
08-03-2020,ca,112
09-03-2020,ca,172
10-03-2020,ca,179
11-03-2020,ca,202
12-03-2020,ca,252
13-03-2020,ca,320
14-03-2020,ca,381
15-03-2020,ca,478
16-03-2020,ca,588
17-03-2020,ca,732
18-03-2020,ca,893
19-03-2020,ca,1067
20-03-2020,ca,1283
21-03-2020,ca,1544
22-03-2020,ca,1851
23-03-2020,ca,2240
24-03-2020,ca,2644
25-03-2020,ca,3183
26-03-2020,ca,4060
27-03-2020,ca,4915
28-03-2020,ca,5566
29-03-2020,ca,6321
30-03-2020,ca,7421
31-03-2020,ca,8583
01-04-2020,ca,9857
02-04-2020,ca,11190
03-04-2020,ca,12569
04-04-2020,ca,13796
05-04-2020,ca,15202
06-04-2020,ca,16361
07-04-2020,ca,17540
08-04-2020,ca,19043
09-04-2020,ca,20191
10-04-2020,ca,21366
11-04-2020,ca,22421
12-04-2020,ca,23323
13-04-2020,ca,24334
14-04-2020,ca,25758
15-04-2020,ca,27107
16-04-2020,ca,28142
17-04-2020,ca,29398
18-04-2020,ca,30829
19-04-2020,ca,31544
20-04-2020,ca,33862
21-04-2020,ca,35844
22-04-2020,ca,37573
23-04-2020,ca,39534
24-04-2020,ca,41368
25-04-2020,ca,42590
26-04-2020,ca,43691
27-04-2020,ca,45208
28-04-2020,ca,46570
29-04-2020,ca,48904
30-04-2020,ca,50470
01-05-2020,ca,52318
